city,lat,lng
Andalusia,41.4373,-90.7164
Markham,41.6,-87.6905
Roscoe,42.4252,-89.0085
Radom,38.2798,-89.1921
Gladstone,40.864,-90.9567
Fulton,41.8647,-90.1576
Lanark,42.1019,-89.8328
Longview,39.8859,-88.0662
East Dubuque,42.489,-90.6279
Savoy,40.0602,-88.2553
Sidney,40.025,-88.0721
Coyne Center,41.4002,-90.5632
Chillicothe,40.9152,-89.5018
Springfield,39.771,-89.6537
Sammons Point,41.0309,-87.8585
Marengo,42.2312,-88.6153
Penfield,40.3048,-87.9442
Zeigler,37.9067,-89.0521
Knollwood,42.2846,-87.8793
Tamaroa,38.1364,-89.2293
Harmon,41.7193,-89.5562
East Gillespie,39.1378,-89.8127
Carrier Mills,37.6886,-88.6294
Irwin,41.0529,-87.9841
Sesser,38.0905,-89.0509
Sumner,38.7197,-87.8726
Fox River Grove,42.1955,-88.2146
Green Valley,40.4073,-89.6438
Whiteash,37.7853,-88.9294
Hoyleton,38.4457,-89.2721
Colp,37.8074,-89.0787
Mulberry Grove,38.9245,-89.2662
Elvaston,40.3954,-91.2493
Oquawka,40.9378,-90.9499
Beaverville,40.9534,-87.6548
Springerton,38.1786,-88.3548
Spring Grove,42.4547,-88.2404
Steger,41.4723,-87.6183
Forest City,40.3723,-89.8325
Nilwood,39.3995,-89.8077
Deer Grove,41.6098,-89.6874
Bridgeview,41.7402,-87.8067
Hamilton,40.3899,-91.3623
Spring Bay,40.8207,-89.5285
Equality,37.7371,-88.3422
Brownstown,38.9943,-88.9553
Woodhull,41.1784,-90.3221
Chebanse,41.0058,-87.9098
Cairo,37.0063,-89.1819
Kane,39.1905,-90.3512
Bradley,41.1643,-87.8451
Valier,38.0176,-89.0439
Shelbyville,39.4096,-88.8005
Kenilworth,42.0888,-87.7145
Maple Park,41.9086,-88.6063
Flossmoor,41.5391,-87.6857
Vernon Hills,42.234,-87.9607
Kilbourne,40.1519,-90.0115
Winnebago,42.2671,-89.2337
Cary,42.2128,-88.2491
Hull,39.7086,-91.2032
Bolingbrook,41.6903,-88.1019
Marine,38.7868,-89.7789
Dallas City,40.6353,-91.1645
Hamel,38.8891,-89.8429
Arrowsmith,40.4493,-88.6321
Livingston,38.9682,-89.7642
Charleston,39.4842,-88.1775
Lake Zurich,42.1955,-88.087
Lyons,41.8121,-87.8192
Patoka,38.754,-89.0958
Bishop Hill,41.1997,-90.1175
Metamora,40.7958,-89.3689
Central City,38.5483,-89.1284
Hodgkins,41.7663,-87.8607
Towanda,40.5633,-88.9007
Wonder Lake,42.3791,-88.3493
Murphysboro,37.7679,-89.3321
Lovington,39.7144,-88.6316
Shawneetown,37.7157,-88.1865
Muncie,40.116,-87.843
Brookport,37.1258,-88.6279
Lostant,41.1252,-89.0668
Godley,41.2385,-88.2452
Elkhart,40.0136,-89.4727
Scottville,39.4777,-90.1038
Sandoval,38.6121,-89.1193
Hartford,38.8212,-90.0909
Minonk,40.9104,-89.0382
Standard City,39.3504,-89.7836
Milton,39.5645,-90.6501
Waggoner,39.3776,-89.6527
Barrington,42.1515,-88.1281
Browning,40.127,-90.3731
Banner,40.5126,-89.9156
Emington,40.9693,-88.3577
Effingham,39.1207,-88.5509
Ellisville,40.6273,-90.306
Brimfield,40.838,-89.883
Nebo,39.4421,-90.7881
Middletown,40.0993,-89.5903
Malta,41.9291,-88.8669
Canton,40.5632,-90.0409
Spring Valley,41.3359,-89.2034
Gulf Port,40.8076,-91.0845
Normal,40.522,-88.9877
Mendota,41.5553,-89.1042
Sherman,39.8877,-89.6065
Fox Lake,42.4238,-88.1843
Rankin,40.4644,-87.8959
Steeleville,38.0085,-89.6625
Glen Ellyn,41.8667,-88.0629
Long Creek,39.8052,-88.8475
Riverwoods,42.1723,-87.8951
Floraville,38.3764,-90.0554
Madison,38.7003,-90.1425
Percy,38.0153,-89.6188
Troy,38.7268,-89.8974
Fithian,40.1143,-87.875
Opdyke,38.2583,-88.7898
Tower Lakes,42.2315,-88.1538
Neoga,39.3215,-88.4504
Lansing,41.5648,-87.5462
Mound City,37.0854,-89.1628
Bourbonnais,41.1831,-87.8781
Fairview,40.6485,-90.1841
New Lenox,41.5097,-87.97
Rolling Meadows,42.0747,-88.0253
Foosland,40.3611,-88.4291
Harvel,39.3577,-89.5323
Cedar Point,41.2651,-89.126
Pana,39.3828,-89.0643
