year,county,candidate,party,candidatevotes
2000,Archuleta,Al Gore,democrat,1432.0
2000,Archuleta,George W. Bush,republican,2988.0
2000,Baca,Al Gore,democrat,531.0
2000,Baca,George W. Bush,republican,1663.0
2000,Bent,Al Gore,democrat,783.0
2000,Bent,George W. Bush,republican,1096.0
2000,Boulder,Al Gore,democrat,69983.0
2000,Boulder,George W. Bush,republican,50873.0
2000,Chaffee,Al Gore,democrat,2768.0
2000,Chaffee,George W. Bush,republican,4300.0
2000,Cheyenne,Al Gore,democrat,209.0
2000,Cheyenne,George W. Bush,republican,957.0
2000,Clear Creek,Al Gore,democrat,2188.0
2000,Clear Creek,George W. Bush,republican,2247.0
2000,Conejos,Al Gore,democrat,1749.0
2000,Conejos,George W. Bush,republican,1772.0
2000,Costilla,Al Gore,democrat,1054.0
2000,Costilla,George W. Bush,republican,504.0
2000,Crowley,Al Gore,democrat,511.0
2000,Crowley,George W. Bush,republican,855.0
2000,Custer,Al Gore,democrat,507.0
2000,Custer,George W. Bush,republican,1451.0
2000,Delta,Al Gore,democrat,3264.0
2000,Delta,George W. Bush,republican,8372.0
2000,Denver,Al Gore,democrat,122693.0
2000,Denver,George W. Bush,republican,61224.0
2000,Dolores,Al Gore,democrat,293.0
2000,Dolores,George W. Bush,republican,741.0
2000,Douglas,Al Gore,democrat,27076.0
2000,Douglas,George W. Bush,republican,56007.0
2000,Eagle,Al Gore,democrat,6772.0
2000,Eagle,George W. Bush,republican,7165.0
2000,Elbert,Al Gore,democrat,2326.0
2000,Elbert,George W. Bush,republican,6151.0
2000,El Paso,Al Gore,democrat,61799.0
2000,El Paso,George W. Bush,republican,128294.0
2000,Fremont,Al Gore,democrat,5293.0
2000,Fremont,George W. Bush,republican,9914.0
2000,Garfield,Al Gore,democrat,6087.0
2000,Garfield,George W. Bush,republican,9103.0
2000,Gilpin,Al Gore,democrat,1099.0
2000,Gilpin,George W. Bush,republican,1006.0
2000,Grand,Al Gore,democrat,2308.0
2000,Grand,George W. Bush,republican,3570.0
2000,Gunnison,Al Gore,democrat,3059.0
2000,Gunnison,George W. Bush,republican,3128.0
2000,Hinsdale,Al Gore,democrat,188.0
