year,county,candidate,party,candidatevotes
2008,LaSalle,John McCain,republican,21872.0
2008,Lawrence,Barack Obama,democrat,3016.0
2008,Lawrence,John McCain,republican,3403.0
2008,Lee,Barack Obama,democrat,7765.0
2008,Lee,John McCain,republican,8258.0
2008,Livingston,Barack Obama,democrat,6189.0
2008,Livingston,John McCain,republican,9191.0
2008,Logan,Barack Obama,democrat,5250.0
2008,Logan,John McCain,republican,7429.0
2008,McDonough,Barack Obama,democrat,6783.0
2008,McDonough,John McCain,republican,6055.0
2008,McHenry,Barack Obama,democrat,72288.0
2008,McHenry,John McCain,republican,64845.0
2008,McLean,Barack Obama,democrat,37689.0
2008,McLean,John McCain,republican,36767.0
2008,Macon,Barack Obama,democrat,25487.0
2008,Macon,John McCain,republican,24948.0
2008,Macoupin,Barack Obama,democrat,12090.0
2008,Macoupin,John McCain,republican,9891.0
2008,Madison,Barack Obama,democrat,68979.0
2008,Madison,John McCain,republican,57177.0
2008,Marion,Barack Obama,democrat,8345.0
2008,Marion,John McCain,republican,8691.0
2008,Marshall,Barack Obama,democrat,3081.0
2008,Marshall,John McCain,republican,3145.0
2008,Mason,Barack Obama,democrat,3542.0
2008,Mason,John McCain,republican,3141.0
2008,Massac,Barack Obama,democrat,2693.0
2008,Massac,John McCain,republican,4371.0
2008,Menard,Barack Obama,democrat,2706.0
2008,Menard,John McCain,republican,3672.0
2008,Mercer,Barack Obama,democrat,4887.0
2008,Mercer,John McCain,republican,3833.0
2008,Monroe,Barack Obama,democrat,7953.0
2008,Monroe,John McCain,republican,9881.0
2008,Montgomery,Barack Obama,democrat,6491.0
2008,Montgomery,John McCain,republican,6150.0
2008,Morgan,Barack Obama,democrat,7467.0
2008,Morgan,John McCain,republican,7591.0
2008,Moultrie,Barack Obama,democrat,2668.0
2008,Moultrie,John McCain,republican,3471.0
2008,Ogle,Barack Obama,democrat,11253.0
2008,Ogle,John McCain,republican,13144.0
2008,Peoria,Barack Obama,democrat,45906.0
2008,Peoria,John McCain,republican,34579.0
2008,Perry,Barack Obama,democrat,4701.0
2008,Perry,John McCain,republican,5086.0
2008,Piatt,Barack Obama,democrat,3859.0
2008,Piatt,John McCain,republican,4991.0
2008,Pike,Barack Obama,democrat,3024.0
2008,Pike,John McCain,republican,4457.0
2008,Pope,Barack Obama,democrat,845.0
